fastly.net,"[1, 5, 37, 2, 2, 2, 1, 1, 38, 1, 2, 8, 1, 3, 4, 4, 1, 20, 1, 2, 1, 6, 1, 1, 4, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 4, 1, 3, 1, 2, 2, 1, 2, 1, 1, 1, 3, 1, 2, 1, 1, 2, 1, 3, 1, 1, 4, 1, 1, 1, 2, 3, 2, 2, 4, 1, 1, 2, 2]","['h1', 'h2', 'h3', 'h2', 'h2', 'h1', 'h2', 'h1', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h3', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h1', 'h2', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2', 'h3', 'h2', 'h1', 'h2', 'h1', 'h3', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2', 'h2', 'h3', 'h3', 'h2', 'h1', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2', 'h2']"
canva.com,"[1, 55, 16, 1, 2, 3, 1, 1, 3]","['h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h3', 'h2']"
bbc.com,"[1, 3, 13, 2, 7, 1, 6, 1, 6, 1, 1, 1, 4, 9, 1, 1, 1, 1, 2, 3, 1, 1, 6, 1, 2, 1, 1, 2, 3, 5, 2, 5, 1, 1, 3, 21, 1, 1, 2, 19, 4, 1, 1, 1, 1, 2, 1]","['h2', 'h2', 'h3', 'h1', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h1', 'h2', 'h2', 'h3', 'h2', 'h2', 'h2', 'h2', 'h3', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h3']"
theguardian.com,"[1, 8, 6, 57, 25, 5, 14, 2, 1, 1, 2, 1, 2, 4, 1, 1, 1, 2, 3, 1, 3, 2, 1, 1, 1, 1, 1, 2, 8, 1, 3, 2, 20, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 3, 8, 1, 2, 1, 1, 3, 1, 1, 2, 4, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 2, 2, 2, 1, 2, 1, 3, 2, 1, 11, 4, 1, 4, 2, 1, 1, 2, 1, 2, 1, 2, 2, 2, 1, 2]","['h2', 'h2', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h3', 'h3', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h3', 'h1', 'h2', 'h2', 'h2', 'h2', 'h3', 'h2', 'h2', 'h1', 'h2', 'h3', 'h2', 'h2', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h3', 'h2', 'h2', 'h2', 'h2', 'h3', 'h3', 'h3', 'h2', 'h1', 'h2', 'h2', 'h2', 'h3', 'h3', 'h3', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h1', 'h2', 'h1', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h3', 'h2', 'h1', 'h3', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2', 'h3', 'h2', 'h1']"
oracle.com,"[1, 1, 46, 6, 1, 5, 2, 1, 2, 2, 3, 2, 1, 1, 2, 1, 1, 1, 1, 1]","['h2', 'h1', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1']"
windows.net,"[1, 3, 38, 2, 1, 1, 2, 2, 1, 2, 1, 1, 4, 2, 5]","['h1', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2']"
www.gov.uk,"[6, 18, 1]","['h2', 'h3', 'h2']"
rubiconproject.com,"[1, 1, 1, 45, 2, 2, 1, 1, 2, 2, 1, 12, 1, 1, 4, 1, 1, 1, 1, 2]","['h2', 'h1', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h3', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2']"
vk.com,"[25, 10, 14, 17, 1, 1, 2, 5, 1, 2, 1, 1, 4, 1, 3, 1, 2, 2]","['h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h1', 'h2', 'h1']"
wa.me,"[1, 3, 4, 3, 1, 1]","['h2', 'h2', 'h2', 'h2', 'h3', 'h2']"
