fastly.net,"[1, 5, 38, 2, 2, 2, 1, 2, 1, 8, 3, 4, 1, 35, 1, 4, 1, 1, 6, 1, 1, 4, 1, 3, 19, 1, 3, 1, 1, 1, 1, 1, 1, 1, 18, 4, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 2, 1, 2, 1, 1, 1, 3, 1, 5, 1, 1, 1, 1, 1, 5, 1, 3, 3, 1, 2, 1, 2, 1, 1, 1, 2, 2]","['h1', 'h2', 'h3', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2', 'h2', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h3', 'h1', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h1', 'h1', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2', 'h2', 'h1', 'h1', 'h3', 'h2', 'h1', 'h2', 'h2', 'h2', 'h1', 'h3', 'h2', 'h1', 'h2', 'h1', 'h2', 'h1', 'h2', 'h1', 'h2', 'h2', 'h1', 'h3', 'h2', 'h2', 'h3', 'h1', 'h2', 'h1', 'h1', 'h2', 'h2', 'h2', 'h1', 'h1', 'h2', 'h2', 'h2', 'h2', 'h3', 'h1', 'h2', 'h2', 'h2']"
canva.com,"[53, 15, 1, 2, 1, 3]","['h2', 'h2', 'h2', 'h2', 'h2', 'h2']"
bbc.com,"[1, 2, 14, 8, 2, 5, 1, 8, 1, 1, 4, 1, 9, 1, 1, 1, 1, 2, 3, 1, 1, 6, 1, 2, 1, 5, 1, 3, 2, 2, 5, 1, 1, 1, 20, 19, 2, 1, 1, 4, 1, 1, 2, 1, 1, 2, 1, 2]","['h2', 'h2', 'h3', 'h2', 'h1', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h3', 'h1', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h3', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h3', 'h2', 'h2', 'h2', 'h3', 'h3']"
theguardian.com,"[1, 2, 6, 25, 21, 41, 6, 14, 3, 1, 1, 4, 1, 2, 1, 1, 1, 2, 3, 2, 3, 1, 2, 1, 1, 1, 1, 1, 2, 9, 2, 3, 2, 1, 20, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 3, 1, 1, 2, 1, 5, 2, 2, 1, 1, 1, 2, 7, 1, 1, 1, 1, 1, 2, 4, 2, 11, 1, 1, 2, 2, 2, 2, 2, 1, 1]","['h2', 'h2', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h3', 'h2', 'h2', 'h1', 'h2', 'h2', 'h3', 'h3', 'h2', 'h1', 'h2', 'h2', 'h2', 'h3', 'h2', 'h2', 'h1', 'h2', 'h3', 'h2', 'h2', 'h3', 'h3', 'h2', 'h2', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h3', 'h2', 'h2', 'h2', 'h3', 'h3', 'h3', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2']"
oracle.com,"[1, 46, 6, 1, 3, 1, 2, 2, 3, 2, 1, 1, 2, 2, 1]","['h1', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h1']"
windows.net,"[1, 3, 39, 2, 1, 1, 2, 2, 1, 2, 1, 1, 4, 2, 7]","['h1', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2']"
www.gov.uk,"[6, 18, 1, 1]","['h2', 'h3', 'h3', 'h2']"
rubiconproject.com,"[1, 1, 41, 2, 2, 1, 2, 2, 1, 4, 1, 1, 1, 1, 1, 7, 2, 1, 11, 1, 1, 1, 2, 1]","['h1', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2', 'h3', 'h1', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2', 'h2', 'h3', 'h2', 'h2', 'h2']"
vk.com,"[1, 25, 8, 14, 29, 1, 1, 2, 5, 1, 4, 2, 1, 1, 1, 3, 1, 2, 2]","['h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h1', 'h2', 'h1']"
wa.me,"[1, 1, 3, 5, 3, 2, 1]","['h2', 'h2', 'h2', 'h2', 'h2', 'h3', 'h2']"
